"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","17","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getDayAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","14","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getHistoryAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","18","test_case","test_sysUser","TestSysUser","","","调用的函数：test_getUserList",""
"passed","Wed Apr 07 16:52:14 CST 2021","Wed Apr 07 16:52:14 CST 2021","24","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getHistoryAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:16 CST 2021","41","test_case","test_sysUser","TestSysUser","","","调用的函数：test_delUser",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","31","test_case","test_sysCount","TestSysCount","","","调用的函数：test_cameraCount",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","32","test_case","test_sysUser","TestSysUser","","","调用的函数：test_addUser",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","26","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getDayAlarm",""
"passed","Wed Apr 07 16:52:14 CST 2021","Wed Apr 07 16:52:14 CST 2021","15","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getHistoryAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","29","test_case","test_sysUser","TestSysUser","","","调用的函数：test_addUser",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","54","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getHistoryAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","42","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getDayAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","20","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getHistoryAlarm",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","13","test_case","test_sysUser","TestSysUser","","","调用的函数：test_getUserList",""
"passed","Wed Apr 07 16:52:15 CST 2021","Wed Apr 07 16:52:15 CST 2021","17","test_case","test_onlineAnalysis","TestVideoAnaly","","","调用的函数：test_getDayAlarm",""
